Account,Row Type,Action,Ad group status,Campaign,Ad group,Ad group type,Default max. CPC
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Fargo ND,Standard,0.90
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Greenville SC,Standard,0.95
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Richmond VA,Standard,1.35
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Sioux Falls SD,Standard,1.55
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Nashville TN,Standard,1.85
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Lubbock TX,Standard,1.50
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Amarillo TX,Standard,1.25
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Fort Collins CO,Standard,1.95
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Syracuse NY,Standard,0.85
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Albany NY,Standard,0.95
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Duluth MN,Standard,1.10
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Huntsville AL,Standard,1.40
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Lawrence KS,Standard,0.75
567-953-1692,Ad group,Add,Enabled,Inkdex - Tattoo Search,Norman OK,Standard,1.45
